STT,Tinh_Thanh_Pho,Ten_Phong,Dia_Chi,So_Dien_Thoai,Email,Website
1,Thành phố Cần Thơ,Phòng Đăng ký kinh doanh,"Số 17, Trần Bình Trọng, Phường Ninh Kiều, Thành phố Cần Thơ",02923.830.109 - 0292 3831.627,pdkkd.sotc@cantho.gov.vn,
2,Thành phố Đà Nẵng,Phòng Doanh nghiệp và Đăng ký kinh doanh,"24 Trần Phú, Phường Hải Châu, Thành phố Đà Nẵng",0236.3821755,dkkdstc@danang.gov.vn,taichinh.danang.gov.vn
3,Thành phố Hà Nội,Phòng Đăng ký kinh doanh và Tài chính doanh nghiệp,"52 Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",024.37347512,pdkkdtcdn_sotc@hanoi.gov.vn,www.sotaichinh.hanoi.gov.vn
4,Thành phố Hải Phòng,Phòng Đăng ký kinh doanh và Quản lý doanh nghiệp,"Số 6 đường Hồng Bàng, Thành phố Hải Phòng",0225 3823769,dkkdhaiphong@gmail.com,http://www.haiphong.gov.vn/
5,Thành phố Hồ Chí Minh,Phòng Đăng ký kinh doanh,"90G đường Trần Quốc Toản, Thành phố Hồ Chí Minh",028.38.293.179,,
6,Tỉnh An Giang,Phòng Doanh nghiệp - Hợp tác đầu tư,"Số 7 - 9 đường Mậu Thân, Tỉnh An Giang",02973870319 - 02963854692,doanhnghiep.stc@angiang.gov.vn,sotaichinh.angiang.gov.vn
7,Tỉnh Bắc Ninh,Phòng Đăng ký kinh doanh và Quản lý doanh nghiệp,"Quảng trường 3/2, đường Quách Nhẫn, Tỉnh Bắc Ninh",0204.3823139 - 02043.859605,dkkdbn@gmail.com,
8,Tỉnh Cà Mau,Phòng Đăng ký kinh doanh,"Số 298 Đường Trần Hưng Đạo, Tỉnh Cà Mau",0290 2220077,dkkd.camau@gmail.com,
9,Tỉnh Cao Bằng,Phòng Quản lý doanh nghiệp - Đăng ký kinh doanh,"Sở Tài chính tỉnh Cao Bằng, Thành phố Cao Bằng",0206 385 3007,dangkykinhdoanhcb@gmail.com,
10,Tỉnh Đắk Lắk,Phòng Quản lý doanh nghiệp,"32A Lê Thị Hồng Gấm, Tỉnh Đắk Lắk",0262.3855001 - 0262.3855835,dkkddaklak@gmail.com,daklakdpi.gov.vn
11,Tỉnh Điện Biên,Phòng Đăng ký kinh doanh,"Số 900 Tổ dân phố 3, Thành phố Điện Biên Phủ",0215 3825896,phongdkkd.skhdtdb@gmail.com,
12,Tỉnh Đồng Nai,Phòng Đăng ký kinh doanh,"108 đường Hà Huy Giáp, Thành phố Biên Hoà",0251 885 0777,dkkd.skhdt@dongnai.gov.vn,
13,Tỉnh Đồng Tháp,Phòng Đăng ký kinh doanh,"số 377 đường Hùng Vương, Tỉnh Đồng Tháp",0273 3871962,dkkd.stcdt@gmail.com,
