id,code,prefix,name,parent_id,division_type,region
1,133,tỉnh,"An Giang",NULL,PROVINCE,NULL
2,35639,xã,"Xã Hòa Thuận",1,WARD,4
3,35640,xã,"Xã Hòa Điền",1,WARD,3
4,35641,xã,"Xã Tân Hiệp",1,WARD,4
5,35642,xã,"Xã Sơn Hải",1,WARD,3
6,35643,xã,"Xã Vĩnh Điều",1,WARD,4
7,35644,xã,"Xã Thạnh Đông",1,WARD,4
8,35645,"đặc khu","Đặc khu Phú Quốc",1,WARD,2
9,35646,xã,"Xã Kiên Lương",1,WARD,3
10,35647,xã,"Xã Đông Thái",1,WARD,4
11,35648,xã,"Xã Đông Hòa",1,WARD,4
12,35649,phường,"Phường Rạch Giá",1,WARD,2
13,35655,xã,"Xã Bình An",1,WARD,3
14,35656,xã,"Xã Tây Yên",1,WARD,4
15,35657,xã,"Xã An Biên",1,WARD,4
16,35658,"đặc khu","Đặc khu Kiên Hải",1,WARD,3
17,35659,phường,"Phường Hà Tiên",1,WARD,2
18,35660,xã,"Xã Bình Giang",1,WARD,4
19,35661,xã,"Xã Vân Khánh",1,WARD,4
20,35662,xã,"Xã Vĩnh Hòa Hưng",1,WARD,4
21,35663,xã,"Xã Vĩnh Phong",1,WARD,4
22,35664,xã,"Xã Gò Quao",1,WARD,4
23,35665,xã,"Xã Vĩnh Thuận",1,WARD,4
24,35666,xã,"Xã Hòn Đất",1,WARD,4
25,35667,xã,"Xã Thạnh Lộc",1,WARD,3
26,35668,xã,"Xã Vĩnh Bình",1,WARD,4
27,35669,xã,"Xã Thạnh Hưng",1,WARD,4
28,35670,xã,"Xã U Minh Thượng",1,WARD,4
29,35671,xã,"Xã Định Hòa",1,WARD,4
30,35672,xã,"Xã Tân Thạnh",1,WARD,4
31,35673,"đặc khu","Đặc khu Thổ Châu",1,WARD,2
32,35674,xã,"Xã Vĩnh Tuy",1,WARD,4
33,35675,xã,"Xã Bình Sơn",1,WARD,4
34,35676,xã,"Xã Tân Hội",1,WARD,4
35,35677,xã,"Xã Ngọc Chúc",1,WARD,4
36,35678,xã,"Xã Giang Thành",1,WARD,4
37,35679,xã,"Xã An Minh",1,WARD,4
38,35680,xã,"Xã Sơn Kiên",1,WARD,4
39,35681,xã,"Xã Mỹ Thuận",1,WARD,4
40,35682,xã,"Xã Đông Hưng",1,WARD,4
41,35683,xã,"Xã Giồng Riềng",1,WARD,4
42,35684,phường,"Phường Tô Châu",1,WARD,2
43,35685,xã,"Xã Tiên Hải",1,WARD,2
44,35686,xã,"Xã Long Thạnh",1,WARD,4
45,35687,xã,"Xã Châu Thành",1,WARD,3
46,35688,phường,"Phường Vĩnh Thông",1,WARD,2
47,36173,xã,"Xã Núi Cấm",1,WARD,4
48,35689,xã,"Xã Hòn Nghệ",1,WARD,3
49,35690,xã,"Xã Hòa Hưng",1,WARD,4
50,35881,xã,"Xã Cô Tô",1,WARD,4
51,35882,xã,"Xã Thạnh Mỹ Tây",1,WARD,3
52,35883,xã,"Xã Cù Lao Giêng",1,WARD,4
53,35884,xã,"Xã Ô Lâm",1,WARD,4
54,35885,phường,"Phường Tân Châu",1,WARD,3
55,35886,xã,"Xã Long Kiến",1,WARD,4
56,35887,xã,"Xã Óc Eo",1,WARD,3
57,35888,phường,"Phường Bình Đức",1,WARD,2
